GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.qa.ims.controller,ItemController,0,110,0,2,0,29,0,7,0,6
ims,com.qa.ims.controller,Action,119,0,4,0,19,0,7,0,5,0
ims,com.qa.ims.controller,CustomerController,0,110,0,2,0,29,0,7,0,6
ims,com.qa.ims.controller,OrderController,75,69,6,2,18,19,4,6,1,5
ims,com.qa.ims,IMS,156,0,17,0,49,0,16,0,4,0
ims,com.qa.ims,Runner,16,0,0,0,6,0,3,0,3,0
ims,com.qa.ims.persistence.dao,CustomerDAO,242,3,2,0,59,1,9,1,8,1
ims,com.qa.ims.persistence.dao,OrderDAO,396,3,8,0,93,1,14,1,10,1
ims,com.qa.ims.persistence.dao,ItemDAO,243,3,2,0,58,1,9,1,8,1
ims,com.qa.ims.utils,DBUtils,188,0,6,0,38,0,15,0,12,0
ims,com.qa.ims.utils,Utils,55,3,4,0,23,1,7,1,5,1
ims,com.qa.ims.persistence.domain,Order,102,66,3,1,25,14,12,3,10,3
ims,com.qa.ims.persistence.domain,Domain,105,0,2,0,17,0,6,0,5,0
ims,com.qa.ims.persistence.domain,Item,46,85,14,10,20,22,17,5,6,4
ims,com.qa.ims.persistence.domain,Customer,37,94,12,12,17,25,14,8,4,6
